Slug,FactID,File,HostedUrl
trickortreat,HAL-008,FINAL-trickortreat.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3ff6b99-2576-438d-973b-a86376d44dee.mp4
turnip,HAL-002,FINAL-turnip.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/59c775d0-67f6-4b12-869a-4ef33aa6ece7.mp4
snick,HAL-015,FINAL-snick.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/7dbd793c-0fe3-47e5-8efa-a07d0d371c2b.mp4
afraidark,HAL-011,FINAL-afraidark.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/24b21333-ca41-4507-9272-9ce711669ae6.mp4
gb-paperbacks,HAL-014,FINAL-gb-paperbacks.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/df0b933e-e59b-42c0-a52c-494bcc45f264.mp4
gb-fort,HAL-014,FINAL-gb-fort.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/5cdbc7b5-774b-4219-a167-10a4c743fd3e.mp4
casper,HAL-012,FINAL-casper.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8106a27f-60d0-41ba-a7fc-d06815dfc0fb.mp4
nbc-theater,HAL-010,FINAL-nbc-theater.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b26e6f3a-2267-432d-842c-2ac99b2c1f3b.mp4
nbc-cemetery,HAL-010,FINAL-nbc-cemetery.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/18870ce2-8486-49df-9015-517c70f50602.mp4
mare-bedroom,HAL-017,FINAL-mare-bedroom.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/89a0a844-57c9-4684-b4ea-0693e441e5f1.mp4
mare-nightstand,HAL-017,FINAL-mare-nightstand.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0d48faf3-12cc-4951-a900-e7b208bc006e.mp4
coffinbell,HAL-005,FINAL-coffinbell.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6925be5-2d88-43a6-90e3-08e17f88bbca.mp4
lugnano,HAL-018,FINAL-lugnano.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3dabeff-51c5-4806-89c8-0c182aa5ea96.mp4
samhain,HAL-001,FINAL-samhain.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/cb8ece67-05e0-4138-aa55-0b2e702dbe7f.mp4
hocus-cesa,HAL-009,GM-hocus-pocus-cesa.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d6632add-0f3c-44ac-8573-71037a65b12c.mp4
winchester-cesa,HAL-016,GM-winchester-cesa.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/42f61b5a-5ab0-4165-92ad-12fce9bad127.mp4
gb-rack,HAL-014,FINAL-gb-rack.mp4,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b6ce81de-93ca-46d8-bbd8-b901dadb979c.mp4
